Month,Symbol,Close,Volume,Date,
12/2020,EIX,62.09,1514500,01/12/2020,
01/2020,EW,77.5,4137000,02/01/2020,
02/2020,EW,73.31,6823500,03/02/2020,
03/2020,EW,70.97,6066600,02/03/2020,
04/2020,EW,57.54,5679300,01/04/2020,
05/2020,EW,69.78,2532300,01/05/2020,
06/2020,EW,74.27,2981300,01/06/2020,
07/2020,EW,69,1915800,01/07/2020,
08/2020,EW,78.02,1554700,03/08/2020,
09/2020,EW,85.91,3611800,01/09/2020,
10/2020,EW,78.98,1994100,01/10/2020,
11/2020,EW,72.6,2614800,02/11/2020,
12/2020,EW,83.88,2529100,01/12/2020,
01/2020,EA,107.34,1901000,02/01/2020,
02/2020,EA,105.04,4155500,03/02/2020,
03/2020,EA,106.89,4291500,02/03/2020,
04/2020,EA,97.53,4056500,01/04/2020,
05/2020,EA,113.27,2378600,01/05/2020,
06/2020,EA,122.78,2036400,01/06/2020,
07/2020,EA,135.22,3026300,01/07/2020,
08/2020,EA,142.36,2233800,03/08/2020,
09/2020,EA,138.29,2710100,01/09/2020,
10/2020,EA,132.78,1868800,01/10/2020,
11/2020,EA,119.81,2650000,02/11/2020,
12/2020,EA,127.24,2826200,01/12/2020,
01/2020,EMR,77.48,2532300,02/01/2020,
02/2020,EMR,72.6,3933500,03/02/2020,
03/2020,EMR,66.3,4778500,02/03/2020,
04/2020,EMR,45.7,4608100,01/04/2020,
05/2020,EMR,53.79,4095900,01/05/2020,
06/2020,EMR,60.4,2294900,01/06/2020,
07/2020,EMR,61.21,2486500,01/07/2020,
08/2020,EMR,62.77,2822800,03/08/2020,
09/2020,EMR,70.13,2255600,01/09/2020,
10/2020,EMR,64.63,2314800,01/10/2020,
11/2020,EMR,67.96,5200400,02/11/2020,
12/2020,EMR,75.77,3076700,01/12/2020,
01/2020,ENPH,29.34,7775400,02/01/2020,
02/2020,ENPH,32.92,5511300,03/02/2020,
03/2020,ENPH,51.4,7152600,02/03/2020,
04/2020,ENPH,29.77,3839400,01/04/2020,
05/2020,ENPH,43.25,6139700,01/05/2020,
06/2020,ENPH,59.68,3487100,01/06/2020,
07/2020,ENPH,49.06,3227600,01/07/2020,
08/2020,ENPH,61.21,3000200,03/08/2020,
09/2020,ENPH,78.71,2159900,01/09/2020,
10/2020,ENPH,89.51,4046300,01/10/2020,
11/2020,ENPH,103.83,3316500,02/11/2020,
12/2020,ENPH,128.85,3347000,01/12/2020,
01/2020,ETR,117.93,1453100,02/01/2020,
02/2020,ETR,132.19,834400,03/02/2020,
03/2020,ETR,124.12,1957000,02/03/2020,
04/2020,ETR,85.58,1530500,01/04/2020,
05/2020,ETR,93.57,987500,01/05/2020,
06/2020,ETR,102.68,943200,01/06/2020,
07/2020,ETR,96.72,932800,01/07/2020,
08/2020,ETR,102.62,940500,03/08/2020,
09/2020,ETR,97.69,904800,01/09/2020,
10/2020,ETR,101.28,1634900,01/10/2020,
11/2020,ETR,105.34,1169900,02/11/2020,
12/2020,ETR,108.85,1092700,01/12/2020,
01/2020,EOG,84.14,2496400,02/01/2020,
02/2020,EOG,71.37,3803200,03/02/2020,
03/2020,EOG,62.86,8008500,02/03/2020,
04/2020,EOG,34.6,6250300,01/04/2020,
05/2020,EOG,44.57,5699200,01/05/2020,
06/2020,EOG,51.81,3263900,01/06/2020,
07/2020,EOG,49.86,3394800,01/07/2020,
08/2020,EOG,46.37,4004500,03/08/2020,
09/2020,EOG,45.21,2906400,01/09/2020,
10/2020,EOG,34.86,5085300,01/10/2020,
11/2020,EOG,35.15,4858500,02/11/2020,
12/2020,EOG,46.53,4337800,01/12/2020,
01/2020,EPAM,216.31,229600,02/01/2020,
02/2020,EPAM,234.25,223300,03/02/2020,
03/2020,EPAM,229.87,402200,02/03/2020,
04/2020,EPAM,176.16,251200,01/04/2020,
05/2020,EPAM,216.33,220900,01/05/2020,
06/2020,EPAM,233.86,152300,01/06/2020,
07/2020,EPAM,252.96,275800,01/07/2020,
08/2020,EPAM,291.75,212000,03/08/2020,
09/2020,EPAM,334.78,267800,01/09/2020,
10/2020,EPAM,334.12,353400,01/10/2020,
11/2020,EPAM,313.7,257800,02/11/2020,
12/2020,EPAM,328.82,330900,01/12/2020,
01/2020,EFX,142.39,832900,02/01/2020,
