,Apple,AMD,Amazon,Cisco,Meta,Microsoft,Starbucks,Tesla,Qualcomm
06-Oct,142.00,103.64,3262.01,53.94,333.64,293.11,111.64,782.75,128.06
07-Oct,143.29,106.45,3302.43,55.02,329.22,294.85,112.21,793.61,127.84
08-Oct,142.90,105.06,3288.62,55.08,330.05,294.85,111.22,785.49,126.55
11-Oct,142.81,104.68,3246.30,54.93,325.45,294.23,110.94,791.94,124.94
12-Oct,141.51,105.04,3247.33,54.28,323.77,292.88,111.00,805.72,122.95
13-Oct,140.91,109.16,3284.28,54.62,324.54,296.31,110.76,811.08,125.04
14-Oct,143.76,111.99,3299.86,55.65,328.53,302.75,111.87,818.32,128.66
15-Oct,144.84,112.12,3409.02,55.25,324.76,304.21,111.45,843.03,130.20
18-Oct,146.55,116.43,3446.74,55.19,335.34,307.29,113.37,870.11,130.12
19-Oct,148.76,116.33,3444.15,55.74,339.99,308.23,113.49,864.27,132.50
20-Oct,149.26,116.39,3415.06,56.20,340.78,307.41,113.86,865.80,132.16
21-Oct,149.48,119.33,3435.01,55.69,341.88,310.76,114.44,894.00,133.05
22-Oct,148.69,119.82,3335.55,55.11,324.61,309.16,114.55,909.68,131.62
25-Oct,148.64,122.36,3320.37,55.14,328.69,308.13,114.71,1024.86,131.93
26-Oct,149.32,122.93,3376.07,55.81,315.81,310.11,114.92,1018.43,131.94
27-Oct,148.85,122.28,3392.49,56.18,312.22,323.17,113.51,1037.86,131.20
28-Oct,152.57,121.16,3446.57,56.24,316.92,324.35,113.20,1077.04,133.69
29-Oct,149.80,120.23,3372.43,55.97,323.57,331.62,106.07,1114.00,133.04
01-Nov,148.96,125.23,3318.11,56.10,329.98,329.37,109.80,1208.59,134.81
02-Nov,150.02,127.63,3312.75,57.62,328.08,333.13,111.45,1172.00,135.23
03-Nov,151.49,130.53,3384.00,57.65,331.62,334.00,112.61,1213.86,138.48
04-Nov,150.96,137.50,3477.00,57.12,335.85,336.44,112.16,1229.91,156.11
05-Nov,151.28,136.34,3518.99,57.07,341.13,336.06,116.91,1222.09,163.03
08-Nov,150.44,150.16,3488.98,57.00,338.62,336.99,115.16,1162.94,165.85
09-Nov,150.81,148.92,3576.23,57.44,335.37,335.95,114.13,1023.50,166.74
10-Nov,147.92,139.87,3482.05,57.77,327.64,330.80,113.25,1067.95,159.80
11-Nov,147.87,146.01,3472.50,56.76,327.74,332.43,111.44,1063.51,164.42
12-Nov,149.99,147.89,3525.15,56.82,340.89,336.72,111.72,1033.42,164.94
15-Nov,150.00,146.49,3545.68,57.27,347.56,336.07,111.87,1013.39,168.51
16-Nov,151.00,152.45,3540.70,57.00,342.96,339.51,112.23,1054.73,181.81
17-Nov,153.49,151.34,3549.00,56.76,340.77,339.12,112.52,1089.01,183.54
18-Nov,157.87,155.02,3696.06,53.63,338.69,341.27,112.90,1096.38,186.32
19-Nov,160.55,155.41,3676.57,53.25,345.30,343.11,110.78,1137.06,185.00
22-Nov,161.02,152.52,3572.57,54.60,341.01,339.83,111.45,1156.87,181.40
23-Nov,161.41,149.92,3580.04,55.30,337.25,337.68,113.58,1109.03,180.94
24-Nov,161.94,157.80,3580.41,55.54,341.06,337.91,113.97,1116.00,180.71
26-Nov,156.81,154.81,3504.56,54.67,333.12,329.68,110.66,1081.92,175.74
29-Nov,160.24,161.91,3561.57,55.76,338.03,336.63,110.73,1136.99,183.74
30-Nov,165.30,158.37,3507.07,54.84,324.46,330.59,109.64,1144.76,180.56
01-Dec,164.77,149.11,3443.72,55.03,310.60,330.08,108.66,1095.00,175.63
02-Dec,163.76,150.68,3437.36,56.15,310.39,329.49,111.42,1084.60,177.03
03-Dec,161.84,144.01,3389.79,56.23,306.84,323.01,111.24,1014.97,176.51
06-Dec,165.32,139.06,3427.37,56.96,317.87,326.19,113.36,1009.01,175.45
07-Dec,171.18,144.85,3523.29,58.08,322.81,334.92,116.26,1051.75,183.72
08-Dec,175.08,145.24,3523.16,57.02,330.56,334.97,116.25,1068.96,182.63
09-Dec,174.56,138.10,3483.42,57.55,329.82,333.10,115.35,1003.80,182.26
10-Dec,179.45,138.55,3444.24,59.25,329.75,342.54,116.73,1017.03,183.88
13-Dec,175.74,133.80,3391.35,58.61,334.49,339.40,115.56,966.41,183.32
14-Dec,174.33,135.60,3381.83,57.77,333.74,328.34,114.71,958.51,181.98
15-Dec,179.30,146.50,3466.30,59.93,341.66,334.65,114.68,975.99,189.28
16-Dec,172.26,138.64,3377.42,60.31,334.90,324.90,113.59,926.92,178.15
17-Dec,171.14,137.75,3400.35,60.46,333.79,323.80,108.63,932.57,176.80
20-Dec,169.75,135.80,3341.58,60.36,325.45,319.91,108.09,899.94,176.67
21-Dec,172.99,144.25,3408.34,61.03,334.20,327.29,110.37,938.53,179.58
22-Dec,175.64,143.88,3420.74,61.53,330.45,333.20,111.74,1008.87,181.38
23-Dec,176.28,146.14,3421.37,62.28,335.24,334.69,112.37,1067.00,182.74
27-Dec,180.33,154.36,3393.39,63.42,346.18,342.45,114.22,1093.94,186.33
28-Dec,179.29,153.15,3413.22,63.53,346.22,341.25,115.57,1088.47,184.82
29-Dec,179.38,148.26,3384.02,63.96,342.94,341.95,116.38,1086.19,186.20
30-Dec,178.20,145.15,3372.89,63.62,344.36,339.32,116.24,1070.34,182.73
31-Dec,177.57,143.90,3334.34,63.37,336.35,336.32,116.97,1056.78,182.87
